


group_span_2(m), Y
0.000181236, 0.0343153
0.000181461, -0.274941
0.000181685, 0.442038
0.00018191, -0.437811
0.000182135, 0.306135
0.00018236, -0.0508459
0.000182584, -0.201257
0.000182809, 0.382594
0.000183034, -0.452095
0.000183258, 0.334337
0.000183483, -0.143517
0.000183708, -0.132863
0.000183933, 0.327085
0.000184157, -0.429135
0.000184382, 0.369886
0.000184607, -0.189611
0.000184831, -0.0335257
0.000185056, 0.273588
0.000185281, -0.386236
0.000185506, 0.391624
0.00018573, -0.253418
0.000185955, 0.049108
0.00018618, 0.1736
0.000186404, -0.32319
0.000186629, 0.400966
0.000186854, -0.295219
0.000187079, 0.133808
0.000187303, 0.0840235
0.000187528, -0.292019
0.000187753, 0.375344
0.000187978, -0.339325
0.000188202, 0.205317
0.000188427, 0.00589443
0.000188652, -0.215677
0.000188876, 0.347966
0.000189101, -0.363201
0.000189326, 0.261082
0.000189551, -0.0682147
0.000189775, -0.166721
0.00019, 0.294416



group_span_2(m), Y
0.00017, -0.383257
0.000170225, 0.409486
0.000170449, -0.298191
0.000170674, 0.0721932
0.000170899, 0.157765
0.000171124, -0.373901
0.000171348, 0.414491
0.000171573, -0.372373
0.000171798, 0.187078
0.000172022, 0.0941098
0.000172247, -0.310735
0.000172472, 0.458595
0.000172697, -0.398322
0.000172921, 0.278782
0.000173146, -0.0079219
0.000173371, -0.281522
0.000173596, 0.398575
0.00017382, -0.45597
0.000174045, 0.35008
0.00017427, -0.077504
0.000174494, -0.18919
0.000174719, 0.373153
0.000174944, -0.474292
0.000175169, 0.384487
0.000175393, -0.166551
0.000175618, -0.110157
0.000175843, 0.330406
0.000176067, -0.453023
0.000176292, 0.43321
0.000176517, -0.244637
0.000176742, -0.00793253
0.000176966, 0.266184
0.000177191, -0.428757
0.000177416, 0.449278
0.00017764, -0.318224
0.000177865, 0.0755523
0.00017809, 0.181124
0.000178315, -0.387574
0.000178539, 0.451678
0.000178764, -0.371112
0.000178989, 0.171274
0.000179213, 0.0946068
0.000179438, -0.31887
0.000179663, 0.442381
0.000179888, -0.41736
0.000180112, 0.24776
0.000180337, -0.000273024
0.000180562, -0.251346
0.000180787, 0.41635
0.000181011, -0.443558
0.000181236, 0.318113
0.000181461, -0.0871813
0.000181685, -0.154892
0.00018191, 0.359969
