

wavelength(nm), Y
1570.39, -10.8947
1570.39, -10.8352
1570.38, -10.7761
1570.38, -10.7175
1570.38, -10.6594
1570.38, -10.6018
1570.38, -10.5447
1570.38, -10.4881
1570.38, -10.4319
1570.38, -10.3762
1570.37, -10.3209
1570.37, -10.2661
1570.37, -10.2118
1570.37, -10.1579
1570.37, -10.1044
1570.37, -10.0514
1570.37, -9.99873
1570.37, -9.94653
1570.36, -9.89473
1570.36, -9.84335
1570.36, -9.79237
1570.36, -9.7418
1570.36, -9.69161
1570.36, -9.64182
1570.36, -9.59241
1570.36, -9.54339
1570.36, -9.49474
1570.35, -9.44647
1570.35, -9.39856
1570.35, -9.35102
1570.35, -9.30384
1570.35, -9.25702
1570.35, -9.21055
1570.35, -9.16443
1570.35, -9.11866
1570.34, -9.07323
1570.34, -9.02814
1570.34, -8.98338
1570.34, -8.93895
1570.34, -8.89486
1570.34, -8.85109
1570.34, -8.80764
1570.34, -8.7645
1570.33, -8.72169
1570.33, -8.67919
1570.33, -8.63699
1570.33, -8.5951
1570.33, -8.55352
1570.33, -8.51224
1570.33, -8.47125
1570.33, -8.43056
1570.32, -8.39016
1570.32, -8.35005
1570.32, -8.31023
1570.32, -8.27069
1570.32, -8.23144
1570.32, -8.19246
1570.32, -8.15376
1570.32, -8.11533
1570.32, -8.07718
1570.31, -8.03929
1570.31, -8.00168
1570.31, -7.96432
1570.31, -7.92723
1570.31, -7.8904
1570.31, -7.85383
1570.31, -7.81751
1570.31, -7.78145
1570.3, -7.74564
1570.3, -7.71008
1570.3, -7.67476
1570.3, -7.63969
1570.3, -7.60487
1570.3, -7.57029
1570.3, -7.53594
1570.3, -7.50184
1570.29, -7.46797
1570.29, -7.43434
1570.29, -7.40093
1570.29, -7.36776
1570.29, -7.33482
1570.29, -7.3021
1570.29, -7.26961
1570.29, -7.23734
1570.28, -7.2053
1570.28, -7.17348
1570.28, -7.14187
1570.28, -7.11048
1570.28, -7.07931
1570.28, -7.04835
1570.28, -7.01761
1570.28, -6.98707
1570.28, -6.95675
1570.27, -6.92663
1570.27, -6.89672
1570.27, -6.86702
1570.27, -6.83752
1570.27, -6.80822
1570.27, -6.77912
1570.27, -6.75023
1570.27, -6.72153
1570.26, -6.69303
1570.26, -6.66472
1570.26, -6.63661
1570.26, -6.6087
1570.26, -6.58097
1570.26, -6.55344
1570.26, -6.5261
1570.26, -6.49894
1570.25, -6.47198
1570.25, -6.44519
1570.25, -6.4186
1570.25, -6.39219
1570.25, -6.36596
